user_id,max_streak_length
209,3
241,3
939,3
1068,3
1530,3
1659,3
1713,3
1956,3
3718,3
5010,3
6165,3
7649,3
9666,3
11365,3
13290,3
17562,3
21464,3
44058,3
56469,3
63294,3
98065,3
115657,3
136851,3
143407,3
143709,3
146990,3
148755,3
149213,3
149960,3
153509,3
155280,3
156171,3
156206,3
161480,3
172218,3
172289,3
172441,3
178994,3
184533,3
197200,3
198958,3
204374,3
206925,3
211837,3
213972,3
224699,3
227039,3
230333,3
235442,3
239022,3
239459,3
247713,3
252200,3
252538,3
254337,3
254567,3
254875,3
257254,3
259952,3
260754,3
261019,3
262585,3
262955,3
263076,3
263825,3
264079,3
265302,3
265519,3
266410,3
267824,3
268242,3
268616,3
268811,3
268984,3
269452,3
269769,3
271185,3
271925,3
272909,3
274308,3
275412,3
275669,3
277834,3
277886,3
278055,3
278283,3
278758,3
278881,3
279264,3
279513,3
280067,3
281531,3
281608,3
282032,3
286852,3
286884,3
287473,3
287565,3
288021,3
288245,3
288293,3
288435,3
288719,3
289049,3
289066,3
291177,3
291648,3
291649,3
291662,3
291671,3
291744,3
291860,3
292114,3
292484,3
292648,3
293542,3
295281,3
295578,3
296644,3
296965,3
296970,3
300205,3
300231,3
300259,3
300340,3
300949,3
301071,3
301843,3
302525,3
303509,3
304104,3
304589,3
305169,3
305504,3
305618,3
307125,3
308004,3
308119,3
310065,3
311561,3
313716,3
314404,3
315078,3
317115,3
319402,3
321081,3
322886,3
323278,3
324335,3
324442,3
326092,3
326761,3
327093,3
327235,3
328020,3
328853,3
329934,3
330058,3
330170,3
331872,3
332400,3
332599,3
333836,3
334098,3
335707,3
338539,3
338993,3
339842,3
342574,3
344468,3
344866,3
345552,3
346761,3
347184,3
347420,3
347467,3
347895,3
348341,3
349093,3
349179,3
349196,3
351937,3
355637,3
357719,3
358900,3
359877,3
361941,3
362278,3
363569,3
365004,3
377367,3
388915,3
390410,3
392600,3
393554,3
397483,3
398783,3
400850,3
401747,3
403078,3
403904,3
404356,3
404582,3
405911,3
408008,3
409747,3
411765,3
412749,3
413461,3
415451,3
419650,3
420744,3
422155,3
423338,3
423693,3
424230,3
424407,3
425328,3
427973,3
428193,3
428589,3
429572,3
431847,3
432866,3
435401,3
436031,3
436531,3
437470,3
437633,3
438230,3
438477,3
440612,3
441277,3
441587,3
442425,3
442791,3
443834,3
443900,3
446262,3
447315,3
448889,3
450994,3
451348,3
451446,3
451985,3
452856,3
452925,3
453095,3
453177,3
453198,3
453502,3
453678,3
453931,3
454201,3
454324,3
454390,3
454422,3
454425,3
454476,3
454536,3
454543,3
454564,3
454596,3
454598,3
454605,3
454621,3
454634,3
454710,3
454855,3
454867,3
454878,3
455248,3
455256,3
455329,3
455392,3
455690,3
455769,3
455834,3
455841,3
455937,3
456127,3
456370,3
456443,3
456601,3
456606,3
456624,3
456689,3
457052,3
457237,3
457249,3
457584,3
457591,3
457718,3
457737,3
457772,3
457831,3
457847,3
457887,3
458021,3
458028,3
458068,3
458523,3
458525,3
458771,3
458879,3
459504,3
459862,3
459946,3
460275,3
460412,3
460564,3
460899,3
461076,3
461431,3
461443,3
461475,3
461685,3
5,2
519,2
1107,2
1156,2
1516,2
1522,2
2075,2
2159,2
2921,2
2922,2
2984,2
2986,2
3059,2
3599,2
4054,2
4465,2
5143,2
6026,2
6252,2
6359,2
6958,2
7244,2
8223,2
9380,2
10131,2
11353,2
13296,2
13695,2
14470,2
20435,2
29545,2
30067,2
33912,2
34172,2
42005,2
52707,2
63561,2
64065,2
71856,2
74935,2
86291,2
93060,2
95433,2
127758,2
144164,2
146349,2
146514,2
150823,2
151663,2
152138,2
152211,2
152692,2
153059,2
156587,2
156660,2
157226,2
161070,2
161470,2
161640,2
162037,2
163102,2
164222,2
164904,2
165077,2
166037,2
172161,2
172887,2
174071,2
177554,2
179785,2
180282,2
182149,2
183582,2
185848,2
192293,2
197505,2
199772,2
200829,2
205631,2
207737,2
208428,2
210377,2
211139,2
216187,2
218516,2
222355,2
225011,2
227387,2
227453,2
230033,2
230326,2
238494,2
241456,2
246328,2
247618,2
248447,2
248871,2
249600,2
253080,2
253303,2
253831,2
254527,2
254571,2
254845,2
255149,2
255563,2
256838,2
258137,2
259316,2
261417,2
261626,2
263120,2
263672,2
264131,2
265076,2
265489,2
266548,2
268510,2
269038,2
269204,2
269293,2
269518,2
269937,2
270474,2
270616,2
270674,2
271841,2
272050,2
272261,2
272965,2
273126,2
274536,2
274552,2
274699,2
274994,2
275757,2
278280,2
278647,2
278716,2
278764,2
279464,2
279487,2
280231,2
282136,2
282542,2
282687,2
282935,2
283154,2
283300,2
283452,2
283612,2
284147,2
284266,2
284837,2
285016,2
288212,2
288218,2
288224,2
288430,2
288442,2
288809,2
288870,2
289048,2
289609,2
289769,2
289919,2
290283,2
291116,2
291561,2
291565,2
291628,2
291655,2
291658,2
291663,2
291682,2
291689,2
291698,2
291779,2
291824,2
291831,2
291910,2
291979,2
292106,2
292113,2
292402,2
292502,2
292640,2
293272,2
293541,2
293557,2
293627,2
293955,2
294142,2
294199,2
294240,2
294271,2
294836,2
294949,2
295096,2
295829,2
296123,2
296230,2
297003,2
298869,2
299194,2
300902,2
302378,2
303358,2
303853,2
303864,2
304746,2
304856,2
305768,2
306871,2
308745,2
308905,2
308952,2
309420,2
310831,2
311267,2
312445,2
313487,2
313831,2
315048,2
315686,2
315928,2
316893,2
317008,2
318194,2
318855,2
318884,2
319381,2
321414,2
323226,2
323297,2
324595,2
329557,2
330304,2
332257,2
333104,2
335020,2
335661,2
336297,2
337031,2
337693,2
337982,2
338719,2
340927,2
341706,2
342268,2
342611,2
343058,2
343457,2
343603,2
343736,2
343761,2
343868,2
344555,2
345237,2
347021,2
347588,2
347816,2
349306,2
354175,2
354683,2
354817,2
355170,2
355242,2
355358,2
355488,2
355614,2
356572,2
359054,2
359324,2
361988,2
362503,2
365347,2
366810,2
368380,2
368718,2
371864,2
372468,2
373058,2
373221,2
374301,2
374681,2
377279,2
379054,2
382523,2
384823,2
385246,2
385822,2
388201,2
388887,2
389535,2
390592,2
390859,2
391703,2
392902,2
393127,2
393905,2
394304,2
394425,2
394539,2
394628,2
394745,2
395206,2
396108,2
396305,2
398794,2
398805,2
398858,2
399198,2
399589,2
400241,2
404198,2
405018,2
405950,2
406071,2
406659,2
406906,2
408107,2
409180,2
409223,2
409733,2
409983,2
411855,2
412252,2
413016,2
414378,2
415888,2
416843,2
418473,2
418606,2
419321,2
419849,2
421641,2
423326,2
424638,2
426740,2
428440,2
429004,2
430216,2
431663,2
432975,2
433059,2
433699,2
433906,2
434356,2
434497,2
434844,2
435047,2
435597,2
437009,2
437165,2
437546,2
437649,2
438918,2
439085,2
439380,2
439493,2
440139,2
440287,2
440622,2
440815,2
441781,2
442097,2
442243,2
442326,2
442704,2
443151,2
443842,2
444171,2
445232,2
445904,2
446776,2
447369,2
448592,2
448691,2
449728,2
450491,2
452122,2
452182,2
452212,2
452417,2
452593,2
452705,2
452770,2
453000,2
453041,2
453086,2
453165,2
453170,2
453221,2
453454,2
453480,2
453747,2
453824,2
453845,2
453917,2
453920,2
453937,2
454034,2
454047,2
454165,2
454323,2
454397,2
454399,2
454451,2
454544,2
454588,2
454731,2
454749,2
454868,2
454911,2
454939,2
454947,2
455150,2
455155,2
455176,2
455205,2
455232,2
455254,2
455291,2
455305,2
455339,2
455399,2
455454,2
455480,2
455526,2
455528,2
455605,2
455608,2
455628,2
455645,2
455655,2
455733,2
455840,2
455895,2
456010,2
456040,2
456175,2
456237,2
456240,2
456277,2
456413,2
456419,2
456490,2
456535,2
456580,2
456621,2
456643,2
456667,2
456678,2
456758,2
456772,2
456813,2
456815,2
456835,2
456847,2
456868,2
456910,2
456925,2
456944,2
456982,2
457002,2
457007,2
457115,2
457251,2
457386,2
457465,2
457542,2
457545,2
457548,2
457570,2
457585,2
457667,2
457783,2
457867,2
457892,2
457976,2
457982,2
458101,2
458197,2
458239,2
458269,2
458287,2
458371,2
458403,2
458420,2
458452,2
458497,2
458509,2
458533,2
458590,2
458630,2
458633,2
458646,2
458670,2
458735,2
458870,2
458938,2
459045,2
459112,2
459114,2
459298,2
459429,2
459494,2
459659,2
459674,2
459687,2
459693,2
459702,2
459850,2
459921,2
460119,2
460181,2
460290,2
460337,2
460395,2
460435,2
460460,2
460479,2
460505,2
460544,2
460635,2
460757,2
460869,2
460918,2
460958,2
461025,2
461042,2
461088,2
461319,2
461330,2
461551,2
461771,2
461837,2
461856,2
6,1
1102,1
1258,1
1486,1
1500,1
1546,1
1661,1
1791,1
2222,1
2264,1
2600,1
2688,1
2887,1
3162,1
3338,1
3595,1
3751,1
4162,1
4303,1
4360,1
4515,1
4751,1
4871,1
4933,1
5389,1
5583,1
6278,1
6899,1
6930,1
6997,1
7034,1
7443,1
7492,1
7502,1
